product_mdm_id,product_line,product_family,product_class,product_name,product_code,product_template_id,product_ingredient_id,product_ingredient_name,product_ingredient_amount,product_ingredient_amount_uom
1073901,Side,Cheesesticks,Cheddar,10 Inch Cheddar Cheesesticks - USA,10SC,1074278,112970,Dustinator,0.30,Oz
158542,Sandwich,Hoagie,Hoagie,CYO Hoagie Sandwich,HG,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
108210,Sandwich,Hoagie,Hoagie,BBQ Bacon Hoagie Sandwich,HGHGBQ,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
108216,Sandwich,Hoagie,Hoagie,Buffalo Chicken Hoagie Sandwich,HGHGBF,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
108212,Sandwich,Hoagie,Hoagie,Mushroom Hoagie Sandwich,HGHGMR,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
108208,Sandwich,Hoagie,Hoagie,Pizza Sauce Hoagie Sandwich,HGHGPZ,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
108214,Sandwich,Hoagie,Hoagie,Zesty Italian Hoagie Sandwich,HGHGZI,112178,112991,Sauce - Garlic Parmesan,1.00,Oz
158542,Sandwich,Hoagie,Hoagie,CYO Hoagie Sandwich,HG,112178,155448,Box - Papadia,,
108210,Sandwich,Hoagie,Hoagie,BBQ Bacon Hoagie Sandwich,HGHGBQ,112178,155448,Box - Papadia,,
108216,Sandwich,Hoagie,Hoagie,Buffalo Chicken Hoagie Sandwich,HGHGBF,112178,155448,Box - Papadia,,
108212,Sandwich,Hoagie,Hoagie,Mushroom Hoagie Sandwich,HGHGMR,112178,155448,Box - Papadia,,
108208,Sandwich,Hoagie,Hoagie,Pizza Sauce Hoagie Sandwich,HGHGPZ,112178,155448,Box - Papadia,,
108214,Sandwich,Hoagie,Hoagie,Zesty Italian Hoagie Sandwich,HGHGZI,112178,155448,Box - Papadia,,
108228,Side,Calzone,Calzone,Seven Cheese Calzone,CLZNCL7C,112179,112906,Dough - 10 Inch Original,10.25,Oz
108218,Side,Calzone,Calzone,BBQ Chicken Calzone,CLZNCLBQ,112179,112906,Dough - 10 Inch Original,10.25,Oz
108224,Side,Calzone,Calzone,Chicken Parmesan Calzone,CLZNCLCK,112179,112906,Dough - 10 Inch Original,10.25,Oz
108226,Side,Calzone,Calzone,Hawaiian Calzone,CLZNCLHI,112179,112906,Dough - 10 Inch Original,10.25,Oz
108230,Side,Calzone,Calzone,Meats Calzone,CLZNCLMT,112179,112906,Dough - 10 Inch Original,10.25,Oz
108222,Side,Calzone,Calzone,Spicy Italian Calzone,CLZNCLSI,112179,112906,Dough - 10 Inch Original,10.25,Oz
108220,Side,Calzone,Calzone,Veggie Calzone,CLZNCLVG,112179,112906,Dough - 10 Inch Original,10.25,Oz
108228,Side,Calzone,Calzone,Seven Cheese Calzone,CLZNCL7C,112179,112970,Dustinator,0.25,Oz
108218,Side,Calzone,Calzone,BBQ Chicken Calzone,CLZNCLBQ,112179,112970,Dustinator,0.25,Oz
108224,Side,Calzone,Calzone,Chicken Parmesan Calzone,CLZNCLCK,112179,112970,Dustinator,0.25,Oz
108226,Side,Calzone,Calzone,Hawaiian Calzone,CLZNCLHI,112179,112970,Dustinator,0.25,Oz
108230,Side,Calzone,Calzone,Meats Calzone,CLZNCLMT,112179,112970,Dustinator,0.25,Oz
108222,Side,Calzone,Calzone,Spicy Italian Calzone,CLZNCLSI,112179,112970,Dustinator,0.25,Oz
108220,Side,Calzone,Calzone,Veggie Calzone,CLZNCLVG,112179,112970,Dustinator,0.25,Oz
108228,Side,Calzone,Calzone,Seven Cheese Calzone,CLZNCL7C,112179,112847,Cheese - Ricotta,2.00,Oz
108218,Side,Calzone,Calzone,BBQ Chicken Calzone,CLZNCLBQ,112179,112847,Cheese - Ricotta,2.00,Oz
108224,Side,Calzone,Calzone,Chicken Parmesan Calzone,CLZNCLCK,112179,112847,Cheese - Ricotta,2.00,Oz
108226,Side,Calzone,Calzone,Hawaiian Calzone,CLZNCLHI,112179,112847,Cheese - Ricotta,2.00,Oz
108230,Side,Calzone,Calzone,Meats Calzone,CLZNCLMT,112179,112847,Cheese - Ricotta,2.00,Oz
108222,Side,Calzone,Calzone,Spicy Italian Calzone,CLZNCLSI,112179,112847,Cheese - Ricotta,2.00,Oz
108220,Side,Calzone,Calzone,Veggie Calzone,CLZNCLVG,112179,112847,Cheese - Ricotta,2.00,Oz
108232,Side,Breadsticks,Original,10 Piece 14 Inch Original Breadsticks,STIX,112180,112970,Dustinator,0.50,Oz
108234,Side,Breadsticks,Garlic Parmesan,10 Piece 14 Inch Garlic Parmesan Breadsticks,SBTX,112181,112970,Dustinator,0.50,Oz
108234,Side,Breadsticks,Garlic Parmesan,10 Piece 14 Inch Garlic Parmesan Breadsticks,SBTX,112181,112909,Dough - 14 Inch Original,20.25,Oz
108238,Side,Knots,Garlic,8 Piece 8 Inch Mini Garlic Knots,MKNT,112182,112991,Sauce - Garlic Parmesan,1.25,Oz
108238,Side,Knots,Garlic,8 Piece 8 Inch Mini Garlic Knots,MKNT,112182,112970,Dustinator,0.20,Oz
108236,Side,Knots,Garlic,8 Piece 10 Inch Garlic Knots,GKNT,112183,112970,Dustinator,0.25,Oz
108236,Side,Knots,Garlic,8 Piece 10 Inch Garlic Knots,GKNT,112183,112991,Sauce - Garlic Parmesan,1.75,Oz
108326,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - USA,GCKN,112184,112991,Sauce - Garlic Parmesan,1.00,Oz
108328,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - CAN,GCKN,112184,112991,Sauce - Garlic Parmesan,1.00,Oz
108326,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - USA,GCKN,112184,112988,Sauce - Garlic,0.50,Oz
108328,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - CAN,GCKN,112184,112988,Sauce - Garlic,0.50,Oz
108326,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - USA,GCKN,112184,112970,Dustinator,0.25,Oz
108328,Side,Knots,Garlic Cheddar,8 Piece 10 Inch Garlic Cheddar Knots - CAN,GCKN,112184,112970,Dustinator,0.25,Oz
108330,Side,Knots,Pepperoni,4 Piece Extra Large Pepperoni Knots - USA,4PKN,112185,112844,Cheese - Parm Romano,0.75,Oz
108330,Side,Knots,Pepperoni,4 Piece Extra Large Pepperoni Knots - USA,4PKN,112185,112970,Dustinator,0.25,Oz
108330,Side,Knots,Pepperoni,4 Piece Extra Large Pepperoni Knots - USA,4PKN,112185,112991,Sauce - Garlic Parmesan,1.00,Oz
108330,Side,Knots,Pepperoni,4 Piece Extra Large Pepperoni Knots - USA,4PKN,112185,112988,Sauce - Garlic,0.50,Oz
108332,Side,Knots,Pepperoni,8 Piece Extra Large Pepperoni Knots - USA,8PKN,112186,112844,Cheese - Parm Romano,1.50,Oz
108332,Side,Knots,Pepperoni,8 Piece Extra Large Pepperoni Knots - USA,8PKN,112186,112991,Sauce - Garlic Parmesan,2.00,Oz
108332,Side,Knots,Pepperoni,8 Piece Extra Large Pepperoni Knots - USA,8PKN,112186,112970,Dustinator,0.35,Oz
108332,Side,Knots,Pepperoni,8 Piece Extra Large Pepperoni Knots - USA,8PKN,112186,112988,Sauce - Garlic,0.75,Oz
108310,Side,Rolls,Pepperoni,6 Piece 10 Inch Pepperoni Rolls - CAN,PPRL,112187,112970,Dustinator,0.25,Oz
108308,Side,Rolls,Pepperoni,6 Piece 10 Inch Pepperoni Rolls - USA,PPRL,112187,112970,Dustinator,0.25,Oz
108310,Side,Rolls,Pepperoni,6 Piece 10 Inch Pepperoni Rolls - CAN,PPRL,112187,113002,Sauce - Ranch,0.95,Oz
108308,Side,Rolls,Pepperoni,6 Piece 10 Inch Pepperoni Rolls - USA,PPRL,112187,113002,Sauce - Ranch,0.95,Oz
108240,Side,Cheesesticks,Original,8 Inch Original Cheesesticks - USA,8CSX,112188,112970,Dustinator,0.20,Oz
108292,Side,Cheesesticks,Bacon,8 Inch Bacon Cheesesticks - USA,08KS,112188,112970,Dustinator,0.20,Oz
718548,Side,Cheesesticks,Jalapeno,8 Inch Jalapeno Cheesesticks - USA,08JS,112188,112970,Dustinator,0.20,Oz
718549,Side,Cheesesticks,Jalapeno Bacon,8 Inch Jalapeno Bacon Cheesesticks - USA,08JK,112188,112970,Dustinator,0.20,Oz
108294,Side,Cheesesticks,Six Cheese,8 Inch Six Cheese Cheesesticks - USA,086C,112188,112970,Dustinator,0.20,Oz
556544,Side,Cheesesticks,Garlic Parmesan,8 Inch Garlic Parmesan Cheesesticks - USA,08GP,112188,112970,Dustinator,0.20,Oz
108242,Side,Cheesesticks,Original,10 Inch Original Cheesesticks - USA,10CS,112189,112970,Dustinator,0.25,Oz
108246,Side,Cheesesticks,Bacon,10 Inch Bacon Cheesesticks - USA,10KS,112189,112970,Dustinator,0.25,Oz
108250,Side,Cheesesticks,Jalapeno,10 Inch Jalapeno Cheesesticks - USA,10JS,112189,112970,Dustinator,0.25,Oz
108254,Side,Cheesesticks,Jalapeno Bacon,10 Inch Jalapeno Bacon Cheesesticks - USA,10JK,112189,112970,Dustinator,0.25,Oz
108258,Side,Cheesesticks,Green Chile,10 Inch Green Chile Cheesesticks - USA,10YS,112189,112970,Dustinator,0.25,Oz
108260,Side,Cheesesticks,Green Chile Bacon,10 Inch Green Chile Bacon Cheesesticks - USA,10YK,112189,112970,Dustinator,0.25,Oz
108282,Side,Cheesesticks,Six Cheese,10 Inch Six Cheese Cheesesticks - USA,106C,112189,112970,Dustinator,0.25,Oz
108296,Side,Cheesesticks,Bacon Cheddar,10 Inch Bacon Cheddar Cheesesticks - USA,10BC,112189,112970,Dustinator,0.25,Oz
108304,Side,Cheesesticks,Garlic Parmesan,10 Inch Garlic Parmesan Cheesesticks - USA,10GP,112189,112970,Dustinator,0.25,Oz
164703,Side,Cheesesticks,Xtra Garlic,10 Inch Xtra Garlic Cheesesticks - USA,10XG,112189,112970,Dustinator,0.25,Oz
1145231,Side,Cheesesticks,Cheddar,10 Inch Cheddar Cheesesticks - CAN,10SC,112190,112970,Dustinator,0.25,Oz
108244,Side,Cheesesticks,Original,10 Inch Original Cheesesticks - CAN,10CS,112190,112970,Dustinator,0.25,Oz
108248,Side,Cheesesticks,Bacon,10 Inch Bacon Cheesesticks - CAN,10KS,112190,112970,Dustinator,0.25,Oz
108252,Side,Cheesesticks,Jalapeno,10 Inch Jalapeno Cheesesticks - CAN,10JS,112190,112970,Dustinator,0.25,Oz
108256,Side,Cheesesticks,Jalapeno Bacon,10 Inch Jalapeno Bacon Cheesesticks - CAN,10JK,112190,112970,Dustinator,0.25,Oz
108284,Side,Cheesesticks,Six Cheese,10 Inch Six Cheese Cheesesticks - CAN,106C,112190,112970,Dustinator,0.25,Oz
108298,Side,Cheesesticks,Bacon Cheddar,10 Inch Bacon Cheddar Cheesesticks - CAN,10BC,112190,112970,Dustinator,0.25,Oz
108262,Side,Cheesesticks,Original,12 Inch Original Cheesesticks - USA,12CS,112191,112970,Dustinator,0.35,Oz
108266,Side,Cheesesticks,Bacon,12 Inch Bacon Cheesesticks - USA,12KS,112191,112970,Dustinator,0.35,Oz
108270,Side,Cheesesticks,Jalapeno,12 Inch Jalapeno Cheesesticks - USA,12JS,112191,112970,Dustinator,0.35,Oz
108274,Side,Cheesesticks,Jalapeno Bacon,12 Inch Jalapeno Bacon Cheesesticks - USA,12JK,112191,112970,Dustinator,0.35,Oz
108278,Side,Cheesesticks,Green Chile,12 Inch Green Chile Cheesesticks - USA,12YS,112191,112970,Dustinator,0.35,Oz
108280,Side,Cheesesticks,Green Chile Bacon,12 Inch Green Chile Bacon Cheesesticks - USA,12YK,112191,112970,Dustinator,0.35,Oz
108286,Side,Cheesesticks,Six Cheese,12 Inch Six Cheese Cheesesticks - USA,126C,112191,112970,Dustinator,0.35,Oz
108300,Side,Cheesesticks,Bacon Cheddar,12 Inch Bacon Cheddar Cheesesticks - USA,12BC,112191,112970,Dustinator,0.35,Oz
108306,Side,Cheesesticks,Garlic Parmesan,12 Inch Garlic Parmesan Cheesesticks - USA,12GP,112191,112970,Dustinator,0.35,Oz
164711,Side,Cheesesticks,Xtra Garlic,12 Inch Xtra Garlic Cheesesticks - USA,12XG,112191,112970,Dustinator,0.35,Oz
108264,Side,Cheesesticks,Original,12 Inch Original Cheesesticks - CAN,12CS,112192,112970,Dustinator,0.35,Oz
108268,Side,Cheesesticks,Bacon,12 Inch Bacon Cheesesticks - CAN,12KS,112192,112970,Dustinator,0.35,Oz
108272,Side,Cheesesticks,Jalapeno,12 Inch Jalapeno Cheesesticks - CAN,12JS,112192,112970,Dustinator,0.35,Oz
108276,Side,Cheesesticks,Jalapeno Bacon,12 Inch Jalapeno Bacon Cheesesticks - CAN,12JK,112192,112970,Dustinator,0.35,Oz
108288,Side,Cheesesticks,Six Cheese,12 Inch Six Cheese Cheesesticks - CAN,126C,112192,112970,Dustinator,0.35,Oz
108302,Side,Cheesesticks,Bacon Cheddar,12 Inch Bacon Cheddar Cheesesticks - CAN,12BC,112192,112970,Dustinator,0.35,Oz
166070,Side,Cheesesticks,Aged Cheddar Cheesesticks,12 Inch Aged Cheddar Cheesesticks - CAN,,112192,112970,Dustinator,0.35,Oz
166068,Side,Cheesesticks,Aged Cheddar Bacon Cheesesticks,12 Inch Aged Cheddar Bacon Cheesesticks - CAN,,112192,112970,Dustinator,0.35,Oz
108290,Side,Cheesesticks,Original,16 Inch Original Cheesesticks - USA,16CS,112193,112970,Dustinator,0.55,Oz
108312,Side,Cheesesticks,Original,14 Inch Original Cheesesticks - CAN,14CS,112194,112970,Dustinator,0.50,Oz
108598,Dessert,Baked Dessert,Baked Dessert,Cinnamon Pull Aparts,CNPA,112230,112919,Cinnamon Pull Apart,,
108600,Dessert,Baked Dessert,Baked Dessert,Salted Caramel Cinnamon Pull Aparts,CNPC,112230,112919,Cinnamon Pull Apart,,
108598,Dessert,Baked Dessert,Baked Dessert,Cinnamon Pull Aparts,CNPA,112230,112941,Bag - Dessert,,
108600,Dessert,Baked Dessert,Baked Dessert,Salted Caramel Cinnamon Pull Aparts,CNPC,112230,112941,Bag - Dessert,,
107776,Pizza,Spinach Alfredo,Original,10 Inch Original Spinach Alfredo Pizza - USA,10SPIN,112241,112970,Dustinator,0.25,Oz
107938,Pizza,Tuscan Six Cheese,Original,10 Inch Original Tuscan Six Cheese Pizza - USA,106CHS,112241,112970,Dustinator,0.25,Oz
